"articles/title","articles/body"
"Как создать кошелек Tangem Wallet 1.0?","<p>Чтобы начать работу с Tangem Wallet, вам понадобится мобильное устройство с поддержкой NFC и официальное приложение Tangem. Вы можете скачать приложение Tangem в <a class=""notion-link-token notion-enable-hover"" href=""https://apps.apple.com/us/app/tangem/id1354868448"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--546296117"">App Store</span></a> и <a class=""notion-link-token notion-enable-hover"" href=""https://play.google.com/store/apps/details?id=com.tangem.wallet&amp;hl=en_US&amp;gl=US"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--1435375437"">Google Play</span></a>. Вы также можете приложить карту к NFC-модулю вашего телефона, и вам будет предложено загрузить приложение из магазина.</p>
<p>Для создания кошелька Tangem Wallet с функцией бэкапа (резервного копирования) следуйте инструкции:</p>
<p>1. Откройте приложение Tangem.</p>
<p>2. Нажмите на кнопку «Сканировать» и отсканируйте карту, приложив ее близко к устройству.</p>
<p>3. Выберите «Создать кошелек» и снова отсканируйте карту. В этот момент были сгенерированы ключи и создан кошелек.</p>
<p>После этого, кошелек предложит вам создать бэкап (резервную копию). Вы можете сделать резервную копию своих ключей на одной или двух других пустых картах Tangem Wallet. Обратите внимание, что вы можете создать резервную копию сейчас или позже. Однако, если вы добавите одну резервную карту сейчас, вы не сможете добавить больше резервных карт позже.</p>
<p>Чтобы начать процесс резервного копирования:</p>
<p>— Выберите «Создать резервную копию».</p>
<p>— Нажмите «Добавить резервную карту».</p>
<p>— Отсканируйте резервную карту, поместив ее рядом с устройством.</p>
<p>— Повторите последние 2 пункта столько раз, сколько карт для этой связки. К одному кошельку можно привязать до 3 карт.</p>
<p>— Нажмите «Завершить процесс резервного копирования».</p>
<p>Далее необходимо установить единый код доступа для защиты всех ваших карт.</p>
<p>1. Нажмите кнопку «Продолжить» и введите код доступа. В качестве кода доступа можно выбрать любое слово, фразу или число. Позже вы сможете установить индивидуальный код доступа для каждой карты.</p>
<p>2. Нажмите «Продолжить», повторно введите код доступа и нажмите кнопку «Отправить».</p>
<p>3. Снова просканируйте поочередно все карты.</p>
<p>Видеоинструкцию, как настроить кошелек Tangem, можете найти <a class=""notion-link-token notion-enable-hover"" href=""https://youtu.be/9ZVsHAKaBgY"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id--1727980360"">по ссылке</span></a>, а пошаговую инструкцию со скриншотами из нашего блога <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/how-to-activate-tangem-wallet/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id-647960779"">здесь</span></a>.</p>"
"Почему не получается сделать бэкап? Отображается ошибка «На этой карте уже создан кошелек»","<p>Эта ошибка может возникнуть, если на второй карте уже создан кошелек. В этом случае, необходимо сбросить к заводским настройкам вторую карту:</p>
<p>1. Откройте приложение Tangem, отсканировав эту карту.</p>
<p>2. Если у вас есть криптовалюта на этой карте, переведите ее на первую карту.</p>
<p>3. Нажмите на три точки в правом верхнем углу.</p>
<p>4. Выберите «Настройки карты», затем «Сброс к заводским настройкам».</p>
<p>5. Отсканируйте карту.</p>
<p>После этого вы можете создать бэкап (резервную копию), следуя инструкции:</p>
<p>1. Отсканируйте карту, на которой уже создан кошелек.</p>
<p>2. Нажмите на кнопку «<span class=""notion-enable-hover"" data-token-index=""0"">Создать резервную копию</span>».</p>
<p>3. Нажмите на кнопку «Добавить резервную карту».</p>
<p>4. Поднесите карту к мобильному устройству.</p>
<p>5. Повторите 2 последних пункта столько раз, сколько есть карт для этой связки. К одному кошельку можно привязать до 3-х карт.</p>
<p>6. Нажмите на кнопку «Завершить процесс резервного копирования».</p>
<p>7. Выберите «Продолжить» и придумайте код доступа.</p>
<p>8. Снова просканируйте поочередно все карты.</p>
<p><em>Не забудьте предварительно вывести криптовалюту, если на второй карте уже есть средства!</em></p>"
"Какие языки поддерживает приложение Tangem?","<p>Приложение Tangem полностью доступно на русском, английском и китайском языках, частично — на итальянском, французском и немецком языках.</p>"
"Можно ли использовать несколько кошельков на одном устройстве?","<p>Вы можете использовать неограниченное количество кошельков на одном мобильном устройстве. Сам телефон не хранит какие-либо активы, он только играет роль дисплея, отображая определенные данные для определенного пользователя на своем экране. Карта, в свою очередь, хранит приватные ключи и подписывает транзакции.</p>"
"Используются ли сервера Tangem для работы с блокчейнами?","<p>Tangem не имеет собственных серверов, которые связаны с блокчейнами. То есть приложение в телефоне напрямую связывается с блокчейном. Философия Tangem заключается в предоставлении пользователям только технологического решения для работы с криптоактивами. В итоге у нас получается следующая связка: Карта &lt;-&gt; Приложение &lt;-&gt; Блокчейн.</p>"
"Можно ли пользоваться приложением при отсутствии интернета на телефоне?","<p>Средства хранятся в блокчейне, карта хранит ключи к адресам в блокчейнах. Без интернета нет доступа к блокчейну и невозможно узнать актуальный баланс, поэтому вывести средства не получится, а вот пополнить баланс — вполне.</p>"
"Как изменить код доступа?","<p><span class=""wysiwyg-underline""><span class=""notion-enable-hover"" data-token-index=""0"">Способ 1, если вы забыли код доступа к карте:</span> </span></p>
<p>1. Откройте приложение Tangem, отсканируйте карту, на которой хотите сбросить код доступа.</p>
<p>2. На экране ввода кода доступа нажмите «Забыли код?».</p>
<p>3. На следующем экране введите новый код доступа два раза.</p>
<p>4. Нажмите «Продолжить» и приложите ту карту, на которой хотите сбросить код доступа. Подождите окончания отсчета 15 секунд.</p>
<p>5. Нажмите «Продолжить» и приложите резервную карту (вторую или третью из комплекта). Подождите окончания отсчета 15 секунд.</p>
<p>6. Снова приложите карту, на которой желаете изменить код доступа.</p>
<p> </p>
<p><span class=""wysiwyg-underline""><span class=""notion-enable-hover"" data-token-index=""2"">Способ 2, если вы помните код доступа к карте: </span></span></p>
<p>1. Откройте приложение Tangem, отсканировав карту и введя код доступа.</p>
<p>2. Нажмите три точки в правом верхнем углу.</p>
<p>3. Выберите «Настройки карты».</p>
<p>4. Нажмите «Сканировать», отсканируйте карту.</p>
<p>5. Введите текущий код доступа.</p>
<p>6. Нажмите «Продолжить» и отсканируйте карту.</p>
<p>7. Выберите «Смена кода доступа».</p>
<p>8. Введите новый код доступа два раза.</p>
<p>9. Нажмите «Продолжить», отсканируйте карту.</p>
<p>10. Введите текущий код доступа (обратите внимание: вводить нужно не новый код).</p>
<p>11. Нажмите «Продолжить» и снова отсканируйте карту.</p>"
"Что такое WalletConnect? Как работать с WalletConnect? Как работать с DeFi?","<p>WalletConnect — это протокол с открытым исходным кодом, который позволяет безопасно подключать мобильные кошельки к децентрализованным приложениям (dApps). Вы можете использовать WalletConnect для подключения Tangem Wallet ко множеству dApp-приложений как с мобильных устройств, так и с персонального компьютера.</p>
<p>Полный список DeFi-приложений для подключения доступен на сайте WalletConnect по <a class=""notion-link-token notion-enable-hover"" href=""https://explorer.walletconnect.com/registry?type=dapp"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--557075063"">ссылке</span></a>.</p>
<p>На данный момент опция WalletConnect для Tangem Wallet поддерживает такие EVM-сети, как Ethereum, Polygon, BNB Smart Chain, Avalanche C-Chain, RSK, Fantom Opera, Ethereum Classic, Arbitrum, Gnosis, Ethereum Fair, Ethereum PoW, Optimistic Ethereum, Kava EVM и Cronos.</p>
<p>Более подробно о том, как использовать WalletConnect на Tangem Wallet можно ознакомиться в <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://tangem.com/ru/blog/post/how-to-use-walletconnect/"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-913910826"">блоге</span></a>.</p>"
"Как подключиться к DApp? ","<p>Подключение к DApp (децентрализованному приложению) нужно делать из самого DApp. Для этого нужно:</p>
<p>1. зайти на сайт или в приложение DeFi-сервиса. <br>2. выбрать функцию «Connect your wallet». <br>3. далее выбрать «WalletConnect». <br>4. Если вы подключаете DApp на мобильном устройстве, вам нужно найти «Tangem» в списке кошельков и далее следовать инструкциям на экране. Как это выглядит в PancakeSwap, например, можете посмотреть по <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://t.me/tangem_chat_ru/2368"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--1819195061"">ссылке</span></a>. <br>5. Если вы подключаете DApp на ПК, у вас отобразится QR-код. Чтобы его отсканировать, откройте приложение Tangem, нажмите на три точки в правом верхнем углу, выберите WalletConnect, а далее «+» в правом верхнем углу.</p>
<p>Ознакомиться с подробной инструкцией по подключению и обмену токенов через DEX вы сможете в нашем <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://tangem.com/ru/blog/post/how-to-swap-on-a-dex/"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--1326770306"">блоге</span></a>.</p>"
"Доступен ли стейкинг в Tangem Wallet?","<p>Сейчас стейкинг доступен в DeFi-приложениях, подключение к которым осуществляется через WalletConnect. В нашем приложении он также планируется, но будет реализован позже.</p>
<p>Полный список DeFi-приложений, которые можно подключить к кошельку, доступен на сайте WalletConnect по <a class=""notion-link-token notion-enable-hover"" href=""https://explorer.walletconnect.com/registry?type=dapp"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--557075063"">ссылке</span></a>. Ознакомиться с подробной инструкцией для стейкинга вы сможете в нашем <a class=""notion-link-token notion-enable-hover"" style=""background-color: #ffffff;"" href=""https://tangem.com/ru/blog/post/how-to-stake-cryptocurrency/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id--1636786972"">блоге</span></a>.</p>"
"Как в кошельке обменивать одну криптовалюту на другую?","<p>В приложении Tangem есть возможность обмена криптовалют благодаря интеграции Tangem Wallet с 1inch, крупнейшим агрегатором DEX. Обмен доступен в сетях Ethereum, BNB Smart Chain, Avalanche C-Chain, Gnosis, Polygon, Fantom Opera, Arbitrum, Optimistic Ethereum. Для обмена токенов вам необходимо: <br>1. Зайти в приложение Tangem. <br>2. Выбрать криптовалюту, которую желаете обменять. <br>3. На появившемся экране нажать кнопку «Действия» и далее «Обменять». <br>4. Ввести количество монет, которое вы хотите обменять, и выбрать валюту, на которую вы хотите их обменять. <br>5. Приложите карту, чтобы подписать транзакцию. После того как транзакция подписана и отправлена в блокчейн, данные о ней можно просмотреть в обозревателе. <br>С пошаговой инструкцией по обмену валют вы можете ознакомиться в нашем <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/how-to-exchange-coins-and-tokens-in-the-tangem-app/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--385306601"">блоге</span></a>. <br><br>Вы также можете подключать Tangem Wallet к различным децентрализованным биржам (DEX, например, Uniswap, PancakeSwap и т. д.) для обмена валют с помощью WalletConnect. Обратите внимание, что подключение к DEX нужно делать из самой биржи. Как это выглядит в PancakeSwap, например, можете посмотреть по <a class=""notion-link-token notion-enable-hover"" href=""https://t.me/tangem_chat_ru/2368"" target=""_blank"" rel=""noopener"" data-token-index=""3"">ссылке</a>. Полный список DeFi-приложений, в том числе DEX, которые можно подключить к кошельку, доступен на сайте WalletConnect по <a class=""notion-link-token notion-enable-hover"" href=""https://explorer.walletconnect.com/registry?type=dapp"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id--557075063"">ссылке</span></a>. <br>С подробной инструкцией по обмену валют через WalletConnect вы можете ознакомиться в нашем <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/how-to-swap-on-a-dex/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id--1326770306"">блоге</span></a>.</p>"
"Для чего нужно давать разрешение на использование смарт-контракта перед совершением обмена одной криптовалюты на другую?","<p>Процесс обмена включает в себя два этапа:</p>
<p>1. Выдача разрешения на использование смарт-контракта (осуществляется с удержанием небольшой комиссии сети).</p>
<p>2. Обмен одной криптовалюты на другую (осуществляется с удержанием более высокой комиссии сети).</p>
<p>Выдача разрешения является стандартной процедурой для всех децентрализованных бирж (таких как Uniswap, PancakeSwap, CowSwap, 1inch и т. д.) и защищает ваш кошелек от несанкционированного доступа со стороны смарт-контракта без вашего согласия. По своей архитектуре смарт-контракты не имеют доступа к вашим токенам, если вы не выдадите его. Выдав же такое разрешение, вы предоставляете смарт-контракту право тратить ваши активы. А майнеры, в свою очередь, получают комиссию, оплачиваемую вами, за запись этого действия в блокчейне.</p>
<p>В приложении Tangem выдача разрешения будет выглядеть следующим образом:</p>
<p>1. Зайдите в приложение Tangem.</p>
<p>2. Выберите криптовалюту, которую желаете обменять.</p>
<p>3. На появившемся экране нажмите на кнопку «Действия» и далее «Обменять».</p>
<p>4. Введите количество монет, которое вы хотите обменять, и выберите валюту, на которую вы хотите их обменять.</p>
<p>5. Нажмите на появившуюся кнопку «Дать разрешение». Откроется окно, в котором вы увидите размер комиссии за выдачу разрешения, а также можете выбрать выдать разрешение на текущую транзакцию или безлимитно. Затем выберите «Подтвердить» и отсканируйте карту.</p>
<p>6. Дождитесь расчета комиссии сети и нажмите на кнопку «Обменять», далее приложите карту, чтобы подписать транзакцию. Когда транзакция будет подписана и отправлена в блокчейн, данные о ней можно будет просмотреть в обозревателе. После того как вы выдали разрешение на использование смарт-контракта, вам не потребуется подобное подтверждение при последующем обмене (исключение: вы отозвали разрешение на его использование).</p>
<p>Обратите внимание, что разрешение необходимо для каждого отдельного смарт-контракта.</p>
<p><strong><span class=""notion-enable-hover"" data-token-index=""1"">Важно!</span> </strong>Разрешение на своп будет запрошено если только вы обмениваете токен, работающий в рамках смарт-контрактов (например, токен стандарта ERC20). Для нативных же монет такое разрешение не нужно, так как их работа регулируется не смарт-контрактами, а алгоритмами блокчейнов.</p>"
"Как отозвать разрешение на использование смарт-контракта? ","<p>При выдаче разрешения на использование смарт-контрактов вы можете выбрать выдать его на текущую транзакцию или безлимитно. Выдача разрешения безлимитно значительно экономит ваши средства, нежели тратить деньги на комиссии при подтверждении перед каждым свопом.<br>Отозвать разрешение можно через специальные сервисы: <br>ETH: <a class=""notion-link-token notion-enable-hover"" href=""https://etherscan.io/tokenapprovalchecker"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-1149328360"">https://etherscan.io/tokenapprovalchecker</span></a>, <br>BSC: <a class=""notion-link-token notion-enable-hover"" href=""https://bscscan.com/tokenapprovalchecker"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--41650955"">https://bscscan.com/tokenapprovalchecker</span></a>, <br>Polygon: <a class=""notion-link-token notion-enable-hover"" href=""https://polygonscan.com/tokenapprovalchecker"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-639523693"">https://polygonscan.com/tokenapprovalchecker</span></a>, <br>Arbitrum: <a class=""notion-link-token notion-enable-hover"" href=""https://arbiscan.io/tokenapprovalchecker"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id-1508621528"">https://arbiscan.io/tokenapprovalchecker</span></a>, <br>Avalanche: <a class=""notion-link-token notion-enable-hover"" href=""https://snowtrace.io/tokenapprovalchecker"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""9""><span class=""link-annotation-unknown-block-id--522567417"">https://snowtrace.io/tokenapprovalchecker</span></a>, <br>Fantom: <span class=""link-annotation-unknown-block-id-971829480""><a href=""https://ftmscan.com/tokenapprovalchecker"" target=""_self"" rel=""undefined"">https://ftmscan.com/tokenapprovalchecker</a>,<br>Optimistic Ethereum: <span class=""link-annotation-unknown-block-id--1179997723""><a href=""https://optimistic.etherscan.io/tokenapprovalchecker"">https://optimistic.etherscan.io/tokenapprovalchecker</a>.<br></span></span>В дальнейшем планируется добавить возможность отзывать разрешение прямо в приложении.</p>"
"Как сбросить карты к заводским настройкам?","<p>Перед сбросом карты убедитесь, что вы перевели всю криптовалюту, хранящуюся в вашем кошельке Tangem, в другое место на некоторое время (например, в другой кошелек или на биржу). Это важно, так как сброс карты приведет к полной потере всех средств, хранящихся на ней в данный момент!</p>
<p>Также важно убедиться, что вы помните код доступа от каждой карты. Если не помните, вам необходимо сначала сбросить код доступа на всех картах с помощью карты из бэкапа, иначе сброс кошелька на резервной(ых) карте(ах) станет невозможен.<br><br></p>
<p>Чтобы сбросить карту к заводским настройкам, следуйте инструкции:</p>
<p>1. Откройте приложение Tangem, отсканировав карту и введя код доступа.</p>
<p>2. Нажмите на три точки в правом верхнем углу.</p>
<p>3. Выберите «Настройки карты».</p>
<p>4. Выберите «Сканировать карту» и приложите карту к мобильному устройству.</p>
<p>5. Введите код доступа.</p>
<p>6. Нажмите «Продолжить» и приложите карту к мобильному устройству.</p>
<p>7. Выберите «Сброс к заводским настройкам».</p>
<p>8. Внимательно прочитайте предупреждение, в котором сообщается, что после этого действия доступ к текущему кошельку на выбранной карте будет невозможен. Если вы согласны, нажмите «Сбросить карту».</p>
<p>9. Подтвердите действие, нажав «Сбросить».</p>
<p>10. Введите код доступа и отсканируйте карту.</p>
<p>После этих действий карта будет сброшена до заводских настроек.</p>
<p><span class=""notion-enable-hover"" data-token-index=""0"">Более подробно о том, как вернуть Tangem Wallet к заводским настройкам, можно ознакомиться в </span><a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://tangem.com/ru/blog/post/how-to-reset-tangem-wallet/"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--1055864069"">блоге</span></a><span class=""notion-enable-hover"" data-token-index=""2"">.</span></p>"
"Что произойдёт с остатком на карте, если сбросить карты к заводским настройкам?","<p>Сброс карты до заводских установок подразумевает полное обнуление карты и удаление ключей. После этого действия доступ к текущему кошельку на выбранной карте будет невозможен. Перед тем как совершать сброс, криптовалюту необходимо вывести из кошелька, иначе вы ее потеряете.</p>"
"Как создать кастомный (пользовательский) токен? Как добавить токен, которого нет в списке «Управление токенами»?","<p>В приложении Tangem есть возможность cамостоятельно добавлять пользовательские токены в поддерживаемых приложением сетях. Для этого в приложении выберите раздел «Управление токенами», далее нажмите на иконку «+» в правом верхнем углу списка токенов. Чтобы добавить токен, вам необходимы следующие данные:</p>
<p>1. Адрес смарт-контракта токена. Адрес, как правило, можно найти на coinmarketcap.com, coingecko.com или в Explorer (обозревателе) соответствующего блокчейна.</p>
<p>2. Сеть токена. Приложение Tangem предлагает следующие сети: Arbitrum, Avalanche C-Chain, BNB Beacon Chain, BNB Smart Chain, Ethereum, Ethereum Classic, Ethereum Fair, Ethereum PoW, Fantom Opera, Gnosis Chain, Optimistic Ethereum, Polygon, RSK, Solana, Tron, Kava EVM, Cronos. </p>
<p>3. Название токена (например, Bitcoin) и символ токена (например, BTC).</p>
<p>4. Количество знаков после запятой (Decimals). Этот параметр определяет, на какое значение можно разбить один токен для проведения операций. Данное значение можно найти в карточке токена в Explorer соответствующего блокчейна.</p>
<p>5. Деривация по BIP44. Для этой операции, как правило, выбирается «По умолчанию».</p>
<p> </p>
<p>Например, чтобы добавить токен BinaryX (BNX) в сети BNB Smart Chain, вам необходимо заполнять поля следующим образом:</p>
<p>1. Адрес контракта: 0x8C851d1a123Ff703BD1f9dabe631b69902Df5f97</p>
<p>Вы можете увидеть этот адрес контракта в разделе «Контракты» по <a class=""notion-link-token notion-enable-hover"" href=""https://coinmarketcap.com/ru/currencies/binaryx/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-189223762"">ссылке</span></a>.</p>
<p>2. Сеть: BNB Smart Chain.</p>
<p>3. Название токена: BinaryX.</p>
<p>4. Символ токена: BNX.</p>
<p>5. Знаков после запятой: 18.</p>
<p>Вы можете увидеть количество знаков после запятой в карточке токена в Explorer по <a class=""notion-link-token notion-enable-hover"" href=""https://bscscan.com/token/0x8C851d1a123Ff703BD1f9dabe631b69902Df5f97"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--369757370"">ссылке</span></a>.</p>
<p>6. Деривация по BIP44: По умолчанию.</p>
<p>Подробная инструкция также доступна в нашем <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/how-to-add-tokens-to-tangem-app/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-54186556"">блоге</span></a>.</p>"
"Почему не отображается цена пользовательских (кастомных) токенов?","<p>Если вы добавляли пользовательский токен через адрес смарт-контракта, то цена этого токена может быть нам неизвестна. Такие пользовательские токены не участвуют в расчете общего баланса, а под названием токена будет уведомление «Нет цены».</p>"
"Что означает «В сумме учтены не все монеты»?","<p>Уведомление «В сумме учтены не все монеты» может отображаться по нескольким причинам:</p>
<p>1. Баланс какого-либо токена не загрузился.</p>
<p>2. Если вы добавляли пользовательский токен через адрес смарт-контракта и цена этого токена нам неизвестна. Поскольку курс конвертации данного пользовательского токена нам неизвестен, этот актив не может быть использован для расчета общего баланса.</p>"
"По какому курсу происходит конвертация криптовалюты в фиат?","<p>Курсы валют в приложении Tangem поступают с крупнейшего агрегатора криптовалют <a class=""notion-link-token notion-enable-hover"" href=""https://www.coingecko.com/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-1946250698"">coingecko.com</span></a> и обновляются каждые 15 минут. Обратите внимание, что это лишь справочная цифра, чтобы вы могли оценить стоимость портфеля.</p>
<p>Для активной торговли рекомендуем следить за курсом через биржевое приложение или сайт.</p>"
"Доступен ли майнинг на кошельке Tangem Wallet?","<p>Для майнинга в UTXO-based блокчейнах (Bitcoin, Bitcoin Cash, Litecoin, Dogecoin, Dash, Kaspa, Ravencoin) на Android ограничений нет, кошелек может подписать тысячи инпутов. На iOS пока есть ограничение до 700 инпутов в минуту.<br>В account-based блокчейнах нет понятия инпутов, соответственно, ограничений по майнингу на кошелек Tangem Wallet нет. Примеры Account-based блокчейнов: Ethereum Classic, Ethereum Fair, Ethereum PoW.</p>"
"Как работает биометрическая аутентификация? Как ее активировать?","<p><span class=""notion-enable-hover"" data-token-index=""0"">Вы можете использовать биометрическую аутентификацию (отпечаток пальца или распознавание лица) вместо ввода кода доступа и сканирования карты для входа в приложение Tangem, просмотра балансов монет и токенов, переключения между кошельками, если их у вас несколько. Чтобы активировать эту функцию, следуйте инструкции: <br>1. Откройте приложение Tangem. <br>2. Нажмите на три точки в правом верхнем углу экрана. <br>3. Выберите раздел «Настройки приложения». <br>4. Переключите в активный режим опции «Сохранение кошелька» и «Сохранение кода доступа». При активации опции «Сохранение кошелька» все кошельки Tangem (если у вас их несколько) будут привязываться к приложению, а приложение открываться с помощью биометрической аутентификации. <br>При активации опции «Сохранение кода доступа» все пароли от карт будут храниться на телефоне в зашифрованном виде, а при работе с картами вместо пароля будет запрашиваться биометрическая аутентификация. <br>Важно! Для того чтобы провести транзакцию, ее по-прежнему нужно подписать картой Tangem.</span></p>"
"Безопасно ли использование биометрии?","<p>При использовании биометрической аутентификации код доступа от карты хранится в зашифрованном виде в защищенном хранилище устройства — Keychain. При этом ключи никуда не мигрируют с карты, только код доступа, который без карты не имеет функционального значения. Важно отметить, что данная функция опциональна и в любой момент ее можно отключить или не подключать вовсе.</p>
<p>Более подробно про работу биометрической аутентификации вы можете прочитать в <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/how-biometric-authentication-works-in-tangem-wallet/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--856272000"">статье </span></a>нашего блога.</p>"
